COMPONENT,COMPONENT_cleaned
Prozent Neutralisierung mit SARS-CoV-2 (COVID-19) Spike-Protein rezeptor binding domain (RBD) Ak.neutralisierend,prozent neutralisierung sars cov covid spike protein rezeptor binding domain rbd ak neutralisierend
SARS-Coronavirus 2 Spike- & Nukleokapsidprotein-stimuliertes Gamma Interferon (Liste),sars coronavirus spike nukleokapsidprotein stimuliertes gamma interferon liste
SARS-CoV-2 (COVID-19) Nukleokapsidprotein Ak.IgG,sars cov covid nukleokapsidprotein ak igg
SARS-Coronavirus-2-stimuliertes Gamma-Interferon,sars coronavirus stimuliertes gamma interferon
SARS-Coronavirus-2-stimulierte Gamma-Interferon-Freisetzung durch T-Zellen.Spike Ag spot count^^Korrektur des Hintergrundsignals,sars coronavirus stimulierte gamma interferon freisetzung zellen spike ag spot count korrektur hintergrundsignals
SARS-Coronavirus-2-stimulierte Gamma-Interferon-Freisetzung durch T-Zellen.Nukleokapsid Ag spot count^^Korrektur des Hintergrundsignals,sars coronavirus stimulierte gamma interferon freisetzung zellen nukleokapsid ag spot count korrektur hintergrundsignals
SARS Coronavirus 2-Spike-Protein RBD Ak.neutralisierend,sars coronavirus spike protein rbd ak neutralisierend
SARS-Coronavirus-2-stimulierte Gamma-Interferon-Freisetzung durch Helfer(CD4+)-T-Zellen^^Korrektur des Hintergrundsignals,sars coronavirus stimulierte gamma interferon freisetzung helfer cd zellen korrektur hintergrundsignals
Tahyna-Virus Ak.neutralisierend,tahyna virus ak neutralisierend
Tahyna-Virus Ak.IgG,tahyna virus ak igg
Tahyna-Virus Ak.IgM,tahyna virus ak igm
SARS-Coronavirus 2 RdRp-Gen,sars coronavirus rdrp gen
Heartland banyangvirus Ak.IgG,heartland banyangvirus ak igg
Sandfliegen-Fieber-Virus Neapel Ak.IgG,sandfliegen fieber virus neapel ak igg
Sandfliegen-Fieber-Virus Sizilien Ak.IgM,sandfliegen fieber virus sizilien ak igm
Oropouche-Virus Ak.IgM,oropouche virus ak igm
Bwamba-Virus Ak.IgM,bwamba virus ak igm
Rocio-Virus Ak.IgG,rocio virus ak igg
SARS-Coronavirus 2 Varianteninterpretation,sars coronavirus varianteninterpretation
GISAID sequence accession-Nummer,gisaid sequence accession nummer
Sequenzierungsidentifier,sequenzierungsidentifier
SARS-Coronavirus-2-stimulierte Gamma-Interferon-Freisetzung durch Lymphozyten^^Korrektur des Hintergrundsignals,sars coronavirus stimulierte gamma interferon freisetzung lymphozyten korrektur hintergrundsignals
SARS-Coronavirus 2 RdRp-Gen Mutation entdeckt,sars coronavirus rdrp gen mutation entdeckt
SARS-CoV-2 (COVID-19) Spike-Protein Ak.IgG,sars cov covid spike protein ak igg
Haliotis spp Ak.IgE,haliotis spp ak ige
Acacia longifolia Ak.IgE,acacia longifolia ak ige
Pimenta dioica Ak.IgE,pimenta dioica ak ige
Engraulis encrasicolus Ak.IgE,engraulis encrasicolus ak ige
Phyllostachys pubescens Ak.IgE,phyllostachys pubescens ak ige
Hordeum vulgare Ak.IgE,hordeum vulgare ak ige
Erythrozten.Plasmodium-falciparum-infiziert/Erythrozyten,erythrozten plasmodium falciparum infiziert erythrozyten
Ampicillin Ak.IgE,ampicillin ak ige
Prunus armeniaca Ak.IgE,prunus armeniaca ak ige
Aspergillus fumigatus Ak.IgE,aspergillus fumigatus ak ige
Ricinus communis Ak.IgE,ricinus communis ak ige
Glycine max Ak.IgE,glycine max ak ige
Weisse Bohne Ak.IgE,weisse bohne ak ige
Apis mellifera Ak.IgE,apis mellifera ak ige
Trogoderma angustum Ak.IgE,trogoderma angustum ak ige
Rubus fruticosus Ak.IgE,rubus fruticosus ak ige
Alnus rhombifolia Ak.IgE,alnus rhombifolia ak ige
Prunus dulcis Ak.IgE,prunus dulcis ak ige
Prunus dulcis Baum Ak.IgE,prunus dulcis baum ak ige
Alternaria alternata Ak.IgE,alternaria alternata ak ige
Amoxicillin Ak.IgE,amoxicillin ak ige
Pimpinella anisum Ak.IgE,pimpinella anisum ak ige
Laurus nobilis Ak.IgE,laurus nobilis ak ige
Grüne Kaffeebohne Ak.IgE,gruene kaffeebohne ak ige
Bombus terrestris Ak.IgE,bombus terrestris ak ige
Kanarienvogelfeder Ak.IgE,kanarienvogelfeder ak ige
Averrhoa carambola Ak.IgE,averrhoa carambola ak ige
Anacardium occidentale Ak.IgE,anacardium occidentale ak ige
Carum carvi Ak.IgE,carum carvi ak ige
Daucus carota Ak.IgE,daucus carota ak ige
Hühnerfleisch Ak.IgE,huehnerfleisch ak ige
Chinchilla Ak.IgE,chinchilla ak ige
Chymopapain Ak.IgE,chymopapain ak ige
Kokosnuss Ak.IgE,kokosnuss ak ige
Coffea spp Ak.IgE,coffea spp ak ige
Baumwollsamen Ak.IgE,baumwollsamen ak ige
Cancer pagurus Ak.IgE,cancer pagurus ak ige
Coxsackie-Virus B Ak.IgM,coxsackie virus ak igm
Acremonium sp Ak.IgE,acremonium sp ak ige
Cinnamomum spp Ak.IgE,cinnamomum spp ak ige
Cladosporium herbarum Ak.IgE,cladosporium herbarum ak ige
Ruditapes spp Ak.IgE,ruditapes spp ak ige
Blatella germanica Ak.IgE,blatella germanica ak ige
Zea mays-Pollen Ak.IgE,zea mays pollen ak ige
Astacus astacus Ak.IgE,astacus astacus ak ige
Cytomegalie-Virus DNA,cytomegalie virus dna
Mycoplasma genitalium rRNA,mycoplasma genitalium rrna
Vaccinium oxycoccos Ak.IgE,vaccinium oxycoccos ak ige
Cupressus arizonica Ak.IgE,cupressus arizonica ak ige
Dermatophagoides farinae Ak.IgE,dermatophagoides farinae ak ige
Hundeschuppen Ak.IgE,hundeschuppen ak ige
Epicoccum purpurascens Ak.IgE,epicoccum purpurascens ak ige
Hantavirus Typ Dobrava,hantavirus typ dobrava
Hantavirus Typ Dobrava Ak.IgM,hantavirus typ dobrava ak igm
Respiratorisches Synzytial-Virus RNA,respiratorisches synzytial virus rna
Plasmodium vivax+ovale DNA,plasmodium vivax ovale dna
Borrelia burgdorferi.VlsE1+pepC10 Ak.IgG+IgM,borrelia burgdorferi vlse pepc ak igg igm
Rehepithel Ak.IgE,rehepithel ak ige
Dermatophagoides microceras Ak.IgE,dermatophagoides microceras ak ige
Dermatophagoides pteronyssinus Ak.IgE,dermatophagoides pteronyssinus ak ige
Elchfleisch Ak.IgE,elchfleisch ak ige
Mycoplasma sp DNA,mycoplasma sp dna
Salmonella sp Gesamtgenom,salmonella sp gesamtgenom
Campylobacter upsaliensis DNA,campylobacter upsaliensis dna
Brucella sp Ak.IgA,brucella sp ak iga
Mycoplasma genitalium+hominis DNA,mycoplasma genitalium hominis dna
Streptococcus pyogenes DNA,streptococcus pyogenes dna
Curvularia lunata Ak.IgE,curvularia lunata ak ige
Daphnia Ak.IgE,daphnia ak ige
Botrytis cinerea Ak.IgE,botrytis cinerea ak ige
Bertholletia excelsa Ak.IgE,bertholletia excelsa ak ige
Bromelin Ak.IgE,bromelin ak ige
Fagopyrum esculentum Ak.IgE,fagopyrum esculentum ak ige
Theobroma cacao Ak.IgE,theobroma cacao ak ige
Ceratonia siliqua Ak.IgE,ceratonia siliqua ak ige
Foeniculum vulgare frisch Ak.IgE,foeniculum vulgare frisch ak ige
Frettchenepithel Ak.IgE,frettchenepithel ak ige
Gluten Ak.IgE,gluten ak ige
Solidago virgaurea Ak.IgE,solidago virgaurea ak ige
Citrus paradisis Ak.IgE,citrus paradisis ak ige
Paspalum notatum Ak.IgE,paspalum notatum ak ige
Poa pratensis Ak.IgE,poa pratensis ak ige
Ethylenoxid Ak.IgE,ethylenoxid ak ige
Eucalyptus spp Ak.IgE,eucalyptus spp ak ige
Zingiber officinale Ak.IgE,zingiber officinale ak ige
Gänsefeder Ak.IgE,gaensefeder ak ige
Vitis vinifera Ak.IgE,vitis vinifera ak ige
Käse Cheddar-Typ Ak.IgE,kaese cheddar typ ak ige
Castanea sativa Ak.IgE,castanea sativa ak ige
Aesculus hippocastanum Ak.IgE,aesculus hippocastanum ak ige
Syzygium aromaticum Ak.IgE,syzygium aromaticum ak ige
Xanthium commune Ak.IgE,xanthium commune ak ige
Taraxacum vulgare Ak.IgE,taraxacum vulgare ak ige
Euroglyphus maynei Ak.IgE,euroglyphus maynei ak ige
Kochia scoparia Ak.IgE,kochia scoparia ak ige
Tabanus spp Ak.IgE,tabanus spp ak ige
Formaldehyd Ak.IgE,formaldehyd ak ige
Glycophagus domesticus Ak.IgE,glycophagus domesticus ak ige
Ziegenepithel Ak.IgE,ziegenepithel ak ige
Meerschweinchenepithel Ak.IgE,meerschweinchenepithel ak ige
Agrostis stolonifera Ak.IgE,agrostis stolonifera ak ige
Elymus triticoides Ak.IgE,elymus triticoides ak ige
Honig Ak.IgE,honig ak ige
Hausstaub Hollister-Stier Ak.IgE,hausstaub hollister stier ak ige
Diphenylmethan-Diisocyanat (MDI) Ak.IgE,diphenylmethan diisocyanat mdi ak ige
Isocyanat (TDI) Ak.IgE,isocyanat tdi ak ige
Allium sativum Ak.IgE,allium sativum ak ige
Cynodon dactylon Ak.IgE,cynodon dactylon ak ige
Dactylis glomerata Ak.IgE,dactylis glomerata ak ige
Lolium perenne Ak.IgE,lolium perenne ak ige
Anthoxanthum odoratum Ak.IgE,anthoxanthum odoratum ak ige
Cyamopsis tetragonoloba Ak.IgE,cyamopsis tetragonoloba ak ige
Corylus avellana Ak.IgE,corylus avellana ak ige
Pferde-Serumprotein Ak.IgE,pferde serumprotein ak ige
Hexamethylen-Diisocyanat (HDI) Ak.IgE,hexamethylen diisocyanat hdi ak ige
Latexhandschuh-Extrakt ammonisiert Ak.IgE,latexhandschuh extrakt ammonisiert ak ige
Rinderleber Ak.IgE,rinderleber ak ige
Homarus gammarus Ak.IgE,homarus gammarus ak ige
Holcus lanatus Ak.IgE,holcus lanatus ak ige
Psidium guajava Ak.IgE,psidium guajava ak ige
Ovalbumin Ak.IgE,ovalbumin ak ige
Ostrea edulis Ak.IgE,ostrea edulis ak ige
Passiflora edulis Ak.IgE,passiflora edulis ak ige
Gemeiner Weißer Gänsefuß (Amaranthus retroflexus) Ak.IgE,gemeiner weisser gaensefuss amaranthus retroflexus ak ige
Pinus radiata Ak.IgE,pinus radiata ak ige
Prunus domestica Ak.IgE,prunus domestica ak ige
Papaver somniferum Ak.IgE,papaver somniferum ak ige
Ligustrum vulgare Ak.IgE,ligustrum vulgare ak ige
Protamin Ak.IgE,protamin ak ige
Kaninchenepithel Ak.IgE,kaninchenepithel ak ige
Phalaris arundinacea Ak.IgE,phalaris arundinacea ak ige
Rheum spp Ak.IgE,rheum spp ak ige
Sardina pilchardus Ak.IgE,sardina pilchardus ak ige
Loligo sp Ak.IgE,loligo sp ak ige
Stemphylium botryosum Ak.IgE,stemphylium botryosum ak ige
Schweineepithel Ak.IgE,schweineepithel ak ige
Schweine-Urinprotein Ak.IgE,schweine urinprotein ak ige
Camellia sinensis Ak.IgE,camellia sinensis ak ige
Trimellitisches Anhydrid Ak.IgE,trimellitisches anhydrid ak ige
Thunnus albacares Ak.IgE,thunnus albacares ak ige
Triticum aestivum-Pollen Ak.IgE,triticum aestivum pollen ak ige
Kuhmolke Ak.IgE,kuhmolke ak ige
Salix caprea Ak.IgE,salix caprea ak ige
Thunnus albacares Ak.IgG,thunnus albacares ak igg
Alternaria alternata Ak.IgG,alternaria alternata ak igg
Prunus armeniaca Ak.IgG,prunus armeniaca ak igg
Aspergillus terreus Ak.IgE,aspergillus terreus ak ige
Hordeum vulgare Ak.IgG,hordeum vulgare ak igg
Huhn Ak.IgG,huhn ak igg
Kokosnuss Ak.IgG,kokosnuss ak igg
Gadus morhua Ak.IgG,gadus morhua ak igg
Zea mays Ak.IgG,zea mays ak igg
Kuhmilch Ak.IgG,kuhmilch ak igg
Vitis vinifera Ak.IgG,vitis vinifera ak igg
Citrus limon Ak.IgG,citrus limon ak igg
Lactuca sativa Ak.IgG,lactuca sativa ak igg
Malz Ak.IgG,malz ak igg
Muskat Ak.IgG,muskat ak igg
Papain Ak.IgE,papain ak ige
Pyrus communis Ak.IgG,pyrus communis ak igg
Setomelanomma rostrata Ak.IgE,setomelanomma rostrata ak ige
Hausstaub Greer Ak.IgE,hausstaub greer ak ige
Latexhandschuh-Extrakt gepuffert Ak.IgE,latexhandschuh extrakt gepuffert ak ige
Citrus aurantifolia Ak.IgE,citrus aurantifolia ak ige
Trachurus japonicus Ak.IgE,trachurus japonicus ak ige
Maxatase Ak.IgE,maxatase ak ige
Cladotanytarsus lewisi Ak.IgE,cladotanytarsus lewisi ak ige
Morus alba Ak.IgE,morus alba ak ige
Palinurus spp Ak.IgE,palinurus spp ak ige
Lupinus spp Ak.IgE,lupinus spp ak ige
Lysozym Ak.IgE,lysozym ak ige
Scomber japonicus Ak.IgE,scomber japonicus ak ige
Kuhmilch gekocht Ak.IgE,kuhmilch gekocht ak ige
Echinochloa crus-galli Ak.IgE,echinochloa crus galli ak ige
Nerzepithel Ak.IgE,nerzepithel ak ige
Käse Weichkäse- bzw. Schimmelkäse-Typ Ak.IgE,kaese weichkaese bzw schimmelkaese typ ak ige
Motte Ak.IgE,motte ak ige
Agaricus hortensis Ak.IgE,agaricus hortensis ak ige
Quercus virginiana Ak.IgE,quercus virginiana ak ige
Octopus vulgaris Ak.IgE,octopus vulgaris ak ige
Citrus sinensis Ak.IgE,citrus sinensis ak ige
Origanum vulgare Ak.IgE,origanum vulgare ak ige
Papageienfeder Ak.IgE,papageienfeder ak ige
Prunus persica Ak.IgE,prunus persica ak ige
Arachis hypogaea Ak.IgE,arachis hypogaea ak ige
Penicillin G Ak.IgE,penicillin ak ige
Penicillium notatum Ak.IgE,penicillium notatum ak ige
Phoma betae Ak.IgE,phoma betae ak ige
Pflaume Ak.IgE,pflaume ak ige
Aureobasidium pullulans Ak.IgE,aureobasidium pullulans ak ige
Ambrosia elatior Ak.IgE,ambrosia elatior ak ige
Rattenepithel Ak.IgE,rattenepithel ak ige
Rhizopus nigricans Ak.IgE,rhizopus nigricans ak ige
Salvia officinalis Ak.IgE,salvia officinalis ak ige
Savinase Ak.IgE,savinase ak ige
Pecten spp Ak.IgE,pecten spp ak ige
Schafepithel Ak.IgE,schafepithel ak ige
Helix aspersa Ak.IgE,helix aspersa ak ige
Solea solea Ak.IgE,solea solea ak ige
Fragaria vesca Ak.IgE,fragaria vesca ak ige
Succinylcholin Ak.IgE,succinylcholin ak ige
Helianthus annuus-Pollen Ak.IgE,helianthus annuus pollen ak ige
Phleum pratense Ak.IgE,phleum pratense ak ige
Astragalus spp Ak.IgE,astragalus spp ak ige
Juglans california-Pollen Ak.IgE,juglans california pollen ak ige
Citrullus lanatus Ak.IgE,citrullus lanatus ak ige
Sitophilus granarius Ak.IgE,sitophilus granarius ak ige
Artemisia absinthium Ak.IgE,artemisia absinthium ak ige
Saccharomyces cerevisiae Ak.IgE,saccharomyces cerevisiae ak ige
Malus sylvestris Ak.IgG,malus sylvestris ak igg
Musa spp Ak.IgG,musa spp ak igg
Brassica oleracea var italica Ak.IgG,brassica oleracea var italica ak igg
Elettaria cardamomum Ak.IgE,elettaria cardamomum ak ige
Cancer pagurus Ak.IgG,cancer pagurus ak igg
Ficus carica Ak.IgE,ficus carica ak ige
Stizostedion vitreum Ak.IgE,stizostedion vitreum ak ige
Sesamum indicum Ak.IgG,sesamum indicum ak igg
Pandalus borealis Ak.IgG,pandalus borealis ak igg
Spinacia oleracea Ak.IgG,spinacia oleracea ak igg
Fragaria vesca Ak.IgG,fragaria vesca ak igg
Ipomoea batatas Ak.IgG,ipomoea batatas ak igg
Citrus reticulata Ak.IgG,citrus reticulata ak igg
Senf Ak.IgG,senf ak igg
Citrus sinensis Baum Ak.IgE,citrus sinensis baum ak ige
Petroselinum crispum Ak.IgG,petroselinum crispum ak igg
Pisum sativum Ak.IgG,pisum sativum ak igg
Secale cereale Ak.IgG,secale cereale ak igg
Zucchini Ak.IgG,zucchini ak igg
Helianthus annuus-Samen Ak.IgG,helianthus annuus samen ak igg
Truthahnfeder Ak.IgE,truthahnfeder ak ige
Latex Ak.IgE,latex ak ige
Latexhandschuh-Extrakt Ak.IgE,latexhandschuh extrakt ak ige
Atriplex lentiformis Ak.IgE,atriplex lentiformis ak ige
Lens esculenta Ak.IgE,lens esculenta ak ige
Tilia cordata Ak.IgE,tilia cordata ak ige
Stutenmilch Ak.IgE,stutenmilch ak ige
Setaria italica Ak.IgE,setaria italica ak ige
Mytilus edulis Ak.IgE,mytilus edulis ak ige
Prunus persica var nucipersica Ak.IgE,prunus persica var nucipersica ak ige
Avena sativa Ak.IgE,avena sativa ak ige
Piper nigrum Ak.IgE,piper nigrum ak ige
Capsicum frutescens Ak.IgE,capsicum frutescens ak ige
Phospholipase Ak.IgE,phospholipase ak ige
Ananas comosus Ak.IgE,ananas comosus ak ige
Pleuronectes platessa Ak.IgE,pleuronectes platessa ak ige
Plantago lanceolata Ak.IgE,plantago lanceolata ak ige
Schweinefleisch Ak.IgE,schweinefleisch ak ige
Parvovirus B19 DNA,parvovirus dna
Borrelia burgdorferi.VlsE1+pepC10 Ak,borrelia burgdorferi vlse pepc ak
Borrelia burgdorferi Ak.IgM-Index,borrelia burgdorferi ak igm index
Mycoplasma pneumoniae DNA,mycoplasma pneumoniae dna
Salmonella sp Ag,salmonella sp ag
Varicella-Zoster-Virus Ak.IgA,varicella zoster virus ak iga
Plasmodium sp Ak.IgG,plasmodium sp ak igg
Borrelia burgdorferi.VlsE+OspC Ak.IgG+IgM,borrelia burgdorferi vlse ospc ak igg igm
Shigella sp DNA,shigella sp dna
Plasmodium falciparum DNA,plasmodium falciparum dna
Escherichia coli enteroinvasiv DNA,escherichia coli enteroinvasiv dna
Salmonella typhimurium DNA,salmonella typhimurium dna
Campylobacter coli DNA,campylobacter coli dna
Solanum tuberosum Ak.IgE,solanum tuberosum ak ige
Ipomoea batatas Ak.IgE,ipomoea batatas ak ige
Kürbis (Cucurbita pepo) Ak.IgE,kuerbis cucurbita pepo ak ige
Kaninchenfleisch Ak.IgE,kaninchenfleisch ak ige
Kaninchen-Serumproteine Ak.IgE,kaninchen serumproteine ak ige
Kaninchen-Urinproteine Ak.IgE,kaninchen urinproteine ak ige
Brassica rapa Ak.IgE,brassica rapa ak ige
Rentierepithel Ak.IgE,rentierepithel ak ige
Picea excelsa Ak.IgE,picea excelsa ak ige
Todarodes pacificus Ak.IgE,todarodes pacificus ak ige
Acarus siro Ak.IgE,acarus siro ak ige
Citrus reticulata Ak.IgE,citrus reticulata ak ige
Artemisia dracunculus Ak.IgE,artemisia dracunculus ak ige
Thymus vulgaris Ak.IgE,thymus vulgaris ak ige
Lycopersicon lycopersicum Ak.IgE,lycopersicon lycopersicum ak ige
Trichoderma viride Ak.IgE,trichoderma viride ak ige
Glaskraut Ak.IgE,glaskraut ak ige
Triticum aestivum Ak.IgE,triticum aestivum ak ige
Salmo salar Ak.IgG,salmo salar ak igg
Prunus dulcis Ak.IgG,prunus dulcis ak igg
Gasterophilus intestinalis Ak.IgE,gasterophilus intestinalis ak ige
Rote Bohne Ak.IgG,rote bohne ak igg
Glycine max-Staub Ak.IgE,glycine max staub ak ige
Apium graveolens Ak.IgG,apium graveolens ak igg
Hühnerfleisch Ak.IgG,huehnerfleisch ak igg
Syzygium aromaticum Ak.IgG,syzygium aromaticum ak igg
Baumwollsamen Ak.IgG,baumwollsamen ak igg
Macadamia spp Ak.IgE,macadamia spp ak ige
Allium cepa Ak.IgG,allium cepa ak igg
Citrus sinensis Ak.IgG,citrus sinensis ak igg
Piper nigrum Ak.IgG,piper nigrum ak igg
Ananas comosus Ak.IgG,ananas comosus ak igg
Solanum tuberosum Ak.IgG,solanum tuberosum ak igg
Juglans regia Ak.IgE,juglans regia ak ige
Citrullus lanatus Ak.IgG,citrullus lanatus ak igg
Rote Rübe Ak.IgE,rote ruebe ak ige
Schokolade Ak.IgE,schokolade ak ige
Ovomucoid Ak.IgE,ovomucoid ak ige
Wellensittich-Serumproteine Ak.IgE,wellensittich serumproteine ak ige
Petroselinum crispum Ak.IgE,petroselinum crispum ak ige
Pisum sativum Ak.IgE,pisum sativum ak ige
Pyrus communis Ak.IgE,pyrus communis ak ige
Penicillium frequentans Ak.IgE,penicillium frequentans ak ige
Schinus molle Ak.IgE,schinus molle ak ige
Chenopodium quinoa Ak.IgE,chenopodium quinoa ak ige
Cladosporium cladosporioides Ak.IgG,cladosporium cladosporioides ak igg
Pinus nigra Ak.IgE,pinus nigra ak ige
Pinus edulis Ak.IgE,pinus edulis ak ige
Pinus strobus Ak.IgE,pinus strobus ak ige
Pistacia vera Ak.IgE,pistacia vera ak ige
Malassezia furfur Ak.IgE,malassezia furfur ak ige
Cucurbita pepo-Samen Ak.IgE,cucurbita pepo samen ak ige
Rubus idaeus Ak.IgE,rubus idaeus ak ige
Levisticum officinale Ak.IgE,levisticum officinale ak ige
Lactoferrin bovin Ak.IgE,lactoferrin bovin ak ige
Dermatophagoides pteronyssinus Ak.IgG4,dermatophagoides pteronyssinus ak igg
Casuarina equisetifolia Ak.IgE,casuarina equisetifolia ak ige
Ratten-Serumproteine Ak.IgE,ratten serumproteine ak ige
Ratten-Urinproteine Ak.IgE,ratten urinproteine ak ige
Phragmites communis Ak.IgE,phragmites communis ak ige
Secale cereale-Pollen Ak.IgE,secale cereale pollen ak ige
Secale cereale Ak.IgE,secale cereale ak ige
Rumex acetosella Ak.IgE,rumex acetosella ak ige
Pandalus borealis Ak.IgE,pandalus borealis ak ige
Tyrophagus putrescentiae Ak.IgE,tyrophagus putrescentiae ak ige
Parietaria judaica Ak.IgE,parietaria judaica ak ige
Gerbilepithel Ak.IgE,gerbilepithel ak ige
Aureobasidium pullulans Ak.IgG,aureobasidium pullulans ak igg
Penicillium notatum Ak.IgG,penicillium notatum ak igg
Trichophyton Ak.IgG,trichophyton ak igg
Candida albicans Ak.IgG4,candida albicans ak igg
Diospyros kaki Ak.IgE,diospyros kaki ak ige
Platanus acerifolia Ak.IgE,platanus acerifolia ak ige
Actinidia chinensis Ak.IgG,actinidia chinensis ak igg
Hundeschuppen+Hundeepithel Ak.IgE,hundeschuppen hundeepithel ak ige
Parietaria officinalis Ak.IgE,parietaria officinalis ak ige
Aspergillus sp Ak.IgE,aspergillus sp ak ige
